VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 22.490631;nd_seq 332; raw_accs 2092; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  59.069572; -95.447716; -998.863770;phys_gyros  -0.149124; -0.145514; -0.038162; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.328834 

;navdata_time 22.505706;nd_seq 335; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-006 ;phys_accs  59.075844; -95.531792; -998.758301;phys_gyros  -0.067235; -0.058817;  0.046064; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.346558 

;navdata_time 22.520751;nd_seq 339; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0054;-006 ;phys_accs  59.230160; -94.060982; -993.853027;phys_gyros   0.017293; -0.122888;  0.066800; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.348107 

;navdata_time 22.525939;nd_seq 340; raw_accs 2092; 2036; 2568; raw_gyros 0019; 0056;-005 ;phys_accs  59.241520; -92.168396; -995.288574;phys_gyros  -0.010117; -0.161284;  0.049762; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.352753 

;navdata_time 22.531066;nd_seq 341; raw_accs 2092; 2036; 2568; raw_gyros 0019; 0054;-007 ;phys_accs  59.294933; -88.604958; -994.786621;phys_gyros  -0.020064; -0.126236;  0.056015; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.356825 

;navdata_time 22.535797;nd_seq 342; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0054;-006 ;phys_accs  59.300541; -86.889626; -996.243652;phys_gyros  -0.045765; -0.093656;  0.032703; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.361323 

;navdata_time 22.540924;nd_seq 343; raw_accs 2092; 2036; 2568; raw_gyros 0019; 0055;-007 ;phys_accs  59.299149; -86.280647; -997.608887;phys_gyros  -0.065663; -0.072612;  0.066888; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.366649 

;navdata_time 22.545806;nd_seq 344; raw_accs 2092; 2036; 2568; raw_gyros 0018; 0054;-006 ;phys_accs  59.321320; -86.892586; -995.358887;phys_gyros  -0.064987; -0.054975;  0.059270; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.371455 

;navdata_time 22.551239;nd_seq 345; raw_accs 2096; 2036; 2568; raw_gyros 0020; 0054;-006 ;phys_accs  60.810722; -88.270164; -998.611816;phys_gyros  -0.068006; -0.089002;  0.083012; ; frame_size 1306;video_stream.frame_number 614;  hdvideo_stream.frame_number: 0 ; 1431366311.377109 

;navdata_time 22.555847;nd_seq 346; raw_accs 2096; 2040; 2568; raw_gyros 0021; 0054;-006 ;phys_accs  62.699837; -89.214905; -996.816895;phys_gyros  -0.045752; -0.052044;  0.061003; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.381554 

;navdata_time 22.560791;nd_seq 347; raw_accs 2096; 2036; 2568; raw_gyros 0019; 0055;-006 ;phys_accs  66.144821; -89.929855; -1000.082031;phys_gyros  -0.025749; -0.087559;  0.038478; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.386369 

;navdata_time 22.565948;nd_seq 348; raw_accs 2096; 2040; 2568; raw_gyros 0019; 0054;-004 ;phys_accs  67.748322; -92.316986; -999.590332;phys_gyros  -0.018277; -0.054047;  0.018830; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.391809 

;navdata_time 22.570831;nd_seq 349; raw_accs 2096; 2040; 2568; raw_gyros 0020; 0053;-006 ;phys_accs  68.293037; -92.777863; -998.539062;phys_gyros  -0.020082; -0.066699; -0.004452; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.400133 

;navdata_time 22.576202;nd_seq 350; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-004 ;phys_accs  65.994827; -95.404312; -999.470215;phys_gyros  -0.046053; -0.055168; -0.019406; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.405139 

;navdata_time 22.581024;nd_seq 351; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0053;-005 ;phys_accs  62.793488; -95.606232; -997.619141;phys_gyros  -0.072114; -0.015379; -0.026162; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.406705 

;navdata_time 22.585906;nd_seq 352; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0054;-004 ;phys_accs  59.929596; -94.105804; -999.342285;phys_gyros  -0.074387; -0.033401; -0.051752; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.411617 

;navdata_time 22.591033;nd_seq 353; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  58.079937; -93.152000; -998.741699;phys_gyros  -0.065754; -0.007223; -0.040433; ; frame_size 646;video_stream.frame_number 615;  hdvideo_stream.frame_number: 0 ; 1431366311.421661 

;navdata_time 22.595886;nd_seq 354; raw_accs 2092; 2036; 2568; raw_gyros 0018; 0053;-006 ;phys_accs  58.467415; -87.561958; -998.583008;phys_gyros  -0.050941; -0.040767; -0.031117; ; frame_size 884;video_stream.frame_number 616;  hdvideo_stream.frame_number: 0 ; 1431366311.421721 

;navdata_time 22.600952;nd_seq 355; raw_accs 2092; 2036; 2568; raw_gyros 0019; 0054;-005 ;phys_accs  58.770096; -87.666161; -998.992676;phys_gyros  -0.049083; -0.044967; -0.020253; ; frame_size 884;video_stream.frame_number 616;  hdvideo_stream.frame_number: 0 ; 1431366311.426516 

;navdata_time 22.606262;nd_seq 356; raw_accs 2092; 2040; 2564; raw_gyros 0020; 0057;-007 ;phys_accs  59.885292; -87.158386; -996.820801;phys_gyros  -0.063705; -0.067347;  0.046970; ; frame_size 884;video_stream.frame_number 616;  hdvideo_stream.frame_number: 0 ; 1431366311.432189 

;navdata_time 22.610931;nd_seq 357; raw_accs 2092; 2036; 2564; raw_gyros 0019; 0056;-004 ;phys_accs  59.359844; -89.234528; -995.569336;phys_gyros  -0.061872; -0.121495;  0.003093; ; frame_size 884;video_stream.frame_number 616;  hdvideo_stream.frame_number: 0 ; 1431366311.437491 

;navdata_time 22.615966;nd_seq 358; raw_accs 2092; 2036; 2564; raw_gyros 0019; 0054;-005 ;phys_accs  59.413029; -92.022133; -992.015137;phys_gyros  -0.062439; -0.144484;  0.047249; ; frame_size 884;video_stream.frame_number 616;  hdvideo_stream.frame_number: 0 ; 1431366311.441585 

;navdata_time 22.620971;nd_seq 359; raw_accs 2092; 2036; 2568; raw_gyros 0020; 0055;-005 ;phys_accs  58.920818; -89.029709; -991.817871;phys_gyros  -0.045455; -0.169031; -0.037253; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.446592 

;navdata_time 22.625976;nd_seq 360; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0053;-007 ;phys_accs  59.258690; -88.728371; -991.812500;phys_gyros  -0.030788; -0.100055; -0.004694; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.451655 

;navdata_time 22.630950;nd_seq 361; raw_accs 2092; 2036; 2564; raw_gyros 0019; 0055;-005 ;phys_accs  59.499153; -86.132767; -993.753418;phys_gyros  -0.031119; -0.069425; -0.000123; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.456458 

;navdata_time 22.636413;nd_seq 362; raw_accs 2092; 2036; 2564; raw_gyros 0018; 0054;-006 ;phys_accs  59.466873; -86.184387; -993.440430;phys_gyros  -0.046160; -0.019602;  0.030241; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.462438 

;navdata_time 22.641113;nd_seq 363; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0054;-006 ;phys_accs  59.541847; -88.351646; -991.714844;phys_gyros  -0.061077; -0.056570;  0.067038; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.466896 

;navdata_time 22.646118;nd_seq 364; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0054;-007 ;phys_accs  59.381195; -87.149612; -990.681152;phys_gyros  -0.070244; -0.067694;  0.042093; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.472928 

;navdata_time 22.650970;nd_seq 365; raw_accs 2092; 2036; 2564; raw_gyros 0020; 0054;-006 ;phys_accs  59.388374; -88.577766; -989.347168;phys_gyros  -0.038146; -0.069747;  0.067162; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.476851 

;navdata_time 22.656036;nd_seq 366; raw_accs 2092; 2040; 2564; raw_gyros 0018; 0056;-005 ;phys_accs  59.359974; -88.451897; -991.495605;phys_gyros  -0.039391; -0.091339;  0.036513; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.481644 

;navdata_time 22.661041;nd_seq 367; raw_accs 2092; 2040; 2564; raw_gyros 0018; 0055;-005 ;phys_accs  59.243916; -90.663940; -990.985352;phys_gyros  -0.042759; -0.070108;  0.041028; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.486421 

;navdata_time 22.665985;nd_seq 368; raw_accs 2092; 2040; 2564; raw_gyros 0020; 0055;-006 ;phys_accs  59.176552; -94.627373; -991.879395;phys_gyros  -0.074551; -0.142945;  0.005342; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.491574 

;navdata_time 22.671173;nd_seq 369; raw_accs 2092; 2040; 2564; raw_gyros 0020; 0055;-005 ;phys_accs  59.092949; -95.855766; -990.850098;phys_gyros  -0.095510; -0.121812; -0.006529; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.499770 

;navdata_time 22.676177;nd_seq 370; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-006 ;phys_accs  59.081921; -97.045441; -992.254883;phys_gyros  -0.045156; -0.139740; -0.001006; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.501925 

;navdata_time 22.681030;nd_seq 371; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-007 ;phys_accs  59.121811; -95.880493; -994.469238;phys_gyros  -0.017775; -0.103949;  0.031816; ; frame_size 1516;video_stream.frame_number 617;  hdvideo_stream.frame_number: 0 ; 1431366311.506564 

;navdata_time 22.686218;nd_seq 372; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0054;-005 ;phys_accs  59.136738; -94.678802; -997.661133;phys_gyros   0.005142; -0.067207;  0.048852; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.511917 

;navdata_time 22.691131;nd_seq 373; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0053;-005 ;phys_accs  59.161934; -95.485725; -999.628906;phys_gyros  -0.036168; -0.057262;  0.051286; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.518918 

;navdata_time 22.696075;nd_seq 374; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-007 ;phys_accs  59.170460; -95.070221; -999.902832;phys_gyros  -0.095862; -0.026031;  0.028032; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.521615 

;navdata_time 22.701080;nd_seq 375; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0052;-006 ;phys_accs  59.162807; -96.130630; -999.188477;phys_gyros  -0.096130; -0.007638;  0.026181; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.526502 

;navdata_time 22.706359;nd_seq 376; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0053;-006 ;phys_accs  59.164494; -95.559319; -998.031738;phys_gyros  -0.082129;  0.004208;  0.040170; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.532229 

;navdata_time 22.711120;nd_seq 377; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-005 ;phys_accs  59.113773; -95.346230; -998.535156;phys_gyros  -0.042979;  0.016600;  0.041273; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.537794 

;navdata_time 22.716156;nd_seq 378; raw_accs 2092; 2040; 2568; raw_gyros 0021; 0055;-005 ;phys_accs  59.068729; -95.541710; -998.469238;phys_gyros  -0.000742; -0.022921;  0.038023; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.542149 

;navdata_time 22.721191;nd_seq 379; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-003 ;phys_accs  59.010368; -95.324318; -999.209961;phys_gyros  -0.031333; -0.067983; -0.031857; ; frame_size 1229;video_stream.frame_number 618;  hdvideo_stream.frame_number: 0 ; 1431366311.547211 

;navdata_time 22.726287;nd_seq 380; raw_accs 2092; 2040; 2568; raw_gyros 0018; 0054;-007 ;phys_accs  58.976093; -95.695236; -998.825684;phys_gyros  -0.019889; -0.096938; -0.034211; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.551916 

;navdata_time 22.731170;nd_seq 381; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0054;-006 ;phys_accs  58.974640; -95.556641; -998.640625;phys_gyros  -0.077962; -0.120013; -0.044849; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.556549 

;navdata_time 22.736358;nd_seq 382; raw_accs 2092; 2040; 2568; raw_gyros 0019; 0055;-006 ;phys_accs  58.996552; -95.483276; -998.715332;phys_gyros  -0.092967; -0.076594;  0.028352; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.562150 

;navdata_time 22.741271;nd_seq 383; raw_accs 2092; 2040; 2568; raw_gyros 0021; 0054;-007 ;phys_accs  59.052097; -95.543793; -998.612793;phys_gyros  -0.061000; -0.070398;  0.081774; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.566793 

;navdata_time 22.746215;nd_seq 384; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-006 ;phys_accs  59.115208; -95.420166; -998.853516;phys_gyros  -0.055385; -0.067595;  0.081505; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.571719 

;navdata_time 22.751220;nd_seq 385; raw_accs 2092; 2040; 2568; raw_gyros 0021; 0055;-005 ;phys_accs  59.174156; -95.547882; -998.769043;phys_gyros   0.046414; -0.086536;  0.081912; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.577323 

;navdata_time 22.756256;nd_seq 386; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0054;-005 ;phys_accs  59.214520; -95.519539; -998.723633;phys_gyros   0.023134; -0.110463; -0.000701; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.581942 

;navdata_time 22.761199;nd_seq 387; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0055;-006 ;phys_accs  59.226521; -95.507790; -998.754395;phys_gyros   0.039132; -0.102571;  0.010454; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.586631 

;navdata_time 22.766448;nd_seq 388; raw_accs 2092; 2040; 2568; raw_gyros 0020; 0053;-007 ;phys_accs  59.220924; -95.530884; -998.692383;phys_gyros   0.000548; -0.069841; -0.002672; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.592178 

;navdata_time 22.771453;nd_seq 389; raw_accs 2092; 2040; 2568; raw_gyros 0021; 0052;-005 ;phys_accs  59.201653; -95.456825; -998.770020;phys_gyros  -0.020322; -0.039613;  0.034423; ; frame_size 655;video_stream.frame_number 619;  hdvideo_stream.frame_number: 0 ; 1431366311.598411 

