VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 14.704315;nd_seq 2124; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0054;-006 ;phys_accs  43.239822; -95.763519; -997.818298;phys_gyros  -0.156181; -0.326662;  0.069277; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.617764 

;navdata_time 14.709381;nd_seq 2125; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0055;-005 ;phys_accs  43.245590; -95.271790; -997.968201;phys_gyros  -0.184068; -0.274491;  0.045152; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.618576 

;navdata_time 14.714294;nd_seq 2126; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0054;-005 ;phys_accs  43.238617; -95.350937; -999.018494;phys_gyros  -0.235118; -0.256423;  0.032517; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.623032 

;navdata_time 14.719726;nd_seq 2127; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0054;-007 ;phys_accs  43.262764; -94.779175; -998.517517;phys_gyros  -0.259142; -0.223769;  0.043711; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.628297 

;navdata_time 14.724334;nd_seq 2128; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-002 ;phys_accs  43.261017; -95.089439; -998.452087;phys_gyros  -0.241140; -0.223353;  0.030204; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.632802 

;navdata_time 14.724334;nd_seq 2129; raw_accs 2084; 2040; 2568; raw_gyros 0017; 0055;-002 ;phys_accs  43.261017; -95.089439; -998.452087;phys_gyros  -0.241140; -0.223353;  0.030204; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.636579 

;navdata_time 14.729339;nd_seq 2130; raw_accs 2088; 2040; 2568; raw_gyros 0016; 0056;-004 ;phys_accs  44.792179; -95.304062; -998.345154;phys_gyros  -0.220323; -0.266665;  0.034679; ; frame_size 927;video_stream.frame_number 319;  hdvideo_stream.frame_number: 0 ; 1431376912.637717 

;navdata_time 14.734252;nd_seq 2131; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0053;-006 ;phys_accs  46.664474; -95.295853; -998.303650;phys_gyros  -0.196768; -0.257246; -0.034199; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.642592 

;navdata_time 14.739349;nd_seq 2132; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0054;-005 ;phys_accs  50.139858; -95.476738; -998.702576;phys_gyros  -0.213463; -0.277097; -0.005129; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.647820 

;navdata_time 14.744293;nd_seq 2133; raw_accs 2088; 2040; 2568; raw_gyros 0018; 0053;-004 ;phys_accs  51.786804; -95.346756; -998.605408;phys_gyros  -0.194584; -0.209071; -0.005155; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.653050 

;navdata_time 14.749816;nd_seq 2134; raw_accs 2084; 2040; 2568; raw_gyros 0016; 0056;-004 ;phys_accs  50.798538; -95.394562; -998.602966;phys_gyros  -0.192319; -0.212427;  0.016502; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.658864 

;navdata_time 14.754425;nd_seq 2135; raw_accs 2088; 2044; 2568; raw_gyros 0017; 0054;-005 ;phys_accs  49.741516; -96.948982; -998.559509;phys_gyros  -0.180932; -0.204029;  0.035519; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.662947 

;navdata_time 14.759521;nd_seq 2136; raw_accs 2088; 2044; 2568; raw_gyros 0018; 0055;-005 ;phys_accs  46.784931; -98.726593; -998.445740;phys_gyros  -0.188595; -0.256098; -0.023615; ; frame_size 975;video_stream.frame_number 320;  hdvideo_stream.frame_number: 0 ; 1431376912.670076 

;navdata_time 14.764343;nd_seq 2137; raw_accs 2088; 2044; 2568; raw_gyros 0016; 0056;-004 ;phys_accs  49.204853; -102.296677; -998.619568;phys_gyros  -0.221093; -0.299460;  0.006503; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.673264 

;navdata_time 14.764343;nd_seq 2138; raw_accs 2088; 2044; 2568; raw_gyros 0016; 0056;-004 ;phys_accs  49.204853; -102.296677; -998.619568;phys_gyros  -0.221093; -0.299460;  0.006503; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.677209 

;navdata_time 14.769439;nd_seq 2139; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0054;-003 ;phys_accs  48.526951; -103.853371; -998.571716;phys_gyros  -0.198971; -0.286331; -0.031139; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.680063 

;navdata_time 14.774291;nd_seq 2140; raw_accs 2084; 2044; 2568; raw_gyros 0017; 0057;-005 ;phys_accs  48.725006; -104.412857; -998.592712;phys_gyros  -0.214926; -0.329235; -0.011271; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.683065 

;navdata_time 14.779388;nd_seq 2141; raw_accs 2084; 2044; 2568; raw_gyros 0016; 0055;-005 ;phys_accs  45.512260; -103.670937; -998.522888;phys_gyros  -0.185534; -0.267211; -0.015945; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.689316 

;navdata_time 14.784637;nd_seq 2142; raw_accs 2084; 2044; 2568; raw_gyros 0018; 0054;-003 ;phys_accs  41.719219; -102.270691; -998.406677;phys_gyros  -0.202828; -0.326298; -0.034192; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.704391 

;navdata_time 14.789459;nd_seq 2143; raw_accs 2084; 2044; 2568; raw_gyros 0015; 0056;-004 ;phys_accs  42.157944; -102.946320; -998.453064;phys_gyros  -0.238587; -0.280448; -0.013159; ; frame_size 1287;video_stream.frame_number 321;  hdvideo_stream.frame_number: 0 ; 1431376912.705147 

;navdata_time 14.799560;nd_seq 2145; raw_accs 2088; 2044; 2568; raw_gyros 0017; 0054;-006 ;phys_accs  47.894104; -103.698425; -998.563416;phys_gyros  -0.282839; -0.239705; -0.007006; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.707965 

;navdata_time 14.804412;nd_seq 2146; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0056;-002 ;phys_accs  50.574902; -101.855652; -998.607849;phys_gyros  -0.234343; -0.174158; -0.042461; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.713112 

;navdata_time 14.809417;nd_seq 2147; raw_accs 2088; 2040; 2568; raw_gyros 0014; 0054;-006 ;phys_accs  52.032047; -99.772400; -998.615662;phys_gyros  -0.268146; -0.247324;  0.012401; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.720252 

;navdata_time 14.814544;nd_seq 2148; raw_accs 2088; 2040; 2568; raw_gyros 0016; 0055;-005 ;phys_accs  52.113022; -96.431808; -998.608826;phys_gyros  -0.260339; -0.253495; -0.010743; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.722956 

;navdata_time 14.819580;nd_seq 2149; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0056;-005 ;phys_accs  51.270634; -94.606461; -998.578064;phys_gyros  -0.271378; -0.290739;  0.032446; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.728473 

;navdata_time 14.824462;nd_seq 2150; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  50.591511; -94.315079; -998.565369;phys_gyros  -0.282848; -0.323293;  0.035753; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.732691 

;navdata_time 14.824462;nd_seq 2151; raw_accs 2088; 2040; 2568; raw_gyros 0017; 0055;-005 ;phys_accs  50.591511; -94.315079; -998.565369;phys_gyros  -0.282848; -0.323293;  0.035753; ; frame_size 1139;video_stream.frame_number 322;  hdvideo_stream.frame_number: 0 ; 1431376912.736957 

