VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.494537;nd_seq 149864; raw_accs 2072; 2044; 2544; raw_gyros 0040; 0053;-005 ;phys_accs  19.757498; -102.008759; -958.083496;phys_gyros  -0.049427;  0.009176; -0.038888; ; frame_size 4643;video_stream.frame_number 21474;  hdvideo_stream.frame_number: 0 ; 1431377653.408620 

;navdata_time 755.499755;nd_seq 149865; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  19.760887; -103.234848; -955.493164;phys_gyros  -0.039892; -0.034854; -0.063479; ; frame_size 4643;video_stream.frame_number 21474;  hdvideo_stream.frame_number: 0 ; 1431377653.413710 

;navdata_time 755.504608;nd_seq 149866; raw_accs 2072; 2044; 2548; raw_gyros 0040; 0053;-007 ;phys_accs  19.818653; -101.048912; -953.342773;phys_gyros  -0.046383; -0.009518; -0.019386; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.418482 

;navdata_time 755.509643;nd_seq 149867; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0055;-006 ;phys_accs  19.707241; -102.816093; -957.339844;phys_gyros  -0.001459; -0.045277; -0.022582; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.425399 

;navdata_time 755.514831;nd_seq 149868; raw_accs 2076; 2044; 2548; raw_gyros 0040; 0053;-005 ;phys_accs  21.287903; -101.488731; -959.296875;phys_gyros   0.023557; -0.010299;  0.013372; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.430339 

;navdata_time 755.514831;nd_seq 149869; raw_accs 2076; 2044; 2548; raw_gyros 0040; 0053;-005 ;phys_accs  21.287903; -101.488731; -959.296875;phys_gyros   0.023557; -0.010299;  0.013372; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.432715 

;navdata_time 755.520446;nd_seq 149870; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0053;-006 ;phys_accs  23.112991; -102.588593; -962.207520;phys_gyros   0.016127; -0.043865; -0.030026; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.434448 

;navdata_time 755.525604;nd_seq 149871; raw_accs 2076; 2044; 2548; raw_gyros 0042; 0052;-007 ;phys_accs  26.659996; -102.664230; -960.745605;phys_gyros   0.025085; -0.013412; -0.039279; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.440913 

;navdata_time 755.529815;nd_seq 149872; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0052;-005 ;phys_accs  28.401051; -100.620239; -959.130859;phys_gyros   0.026137;  0.020215; -0.060119; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.443835 

;navdata_time 755.534820;nd_seq 149873; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0053;-005 ;phys_accs  28.959503; -100.827858; -959.237793;phys_gyros   0.056322;  0.041579; -0.046041; ; frame_size 4575;video_stream.frame_number 21475;  hdvideo_stream.frame_number: 0 ; 1431377653.449265 

;navdata_time 755.539764;nd_seq 149874; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0054;-008 ;phys_accs  28.358292; -97.120491; -959.117676;phys_gyros   0.063066;  0.055032; -0.028759; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.455077 

;navdata_time 755.544769;nd_seq 149875; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0053;-007 ;phys_accs  26.998199; -97.308098; -960.458496;phys_gyros   0.076807; -0.005046; -0.010197; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.458865 

;navdata_time 755.549865;nd_seq 149876; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0053;-008 ;phys_accs  27.655804; -94.914650; -959.958984;phys_gyros   0.062264; -0.022988;  0.038098; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.464692 

;navdata_time 755.554992;nd_seq 149877; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  27.426208; -94.252022; -959.702637;phys_gyros   0.064545; -0.037727;  0.049908; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.469242 

;navdata_time 755.560028;nd_seq 149878; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0052;-008 ;phys_accs  28.237143; -94.545242; -959.702637;phys_gyros   0.059029;  0.005615;  0.093374; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.474097 

;navdata_time 755.564941;nd_seq 149879; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0052;-004 ;phys_accs  27.891243; -93.066917; -959.485840;phys_gyros   0.047813;  0.041321;  0.026042; ; frame_size 4768;video_stream.frame_number 21476;  hdvideo_stream.frame_number: 0 ; 1431377653.478828 

;navdata_time 755.569885;nd_seq 149880; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0053;-007 ;phys_accs  27.619556; -95.326797; -959.919434;phys_gyros   0.053424;  0.055478;  0.006532; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.485472 

;navdata_time 755.574890;nd_seq 149881; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0055;-005 ;phys_accs  27.771915; -95.221550; -959.799805;phys_gyros   0.035984;  0.018407; -0.071308; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.493529 

;navdata_time 755.574890;nd_seq 149882; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0055;-005 ;phys_accs  27.771915; -95.221550; -959.799805;phys_gyros   0.035984;  0.018407; -0.071308; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.493677 

;navdata_time 755.580078;nd_seq 149883; raw_accs 2076; 2040; 2548; raw_gyros 0040; 0052;-008 ;phys_accs  27.593756; -96.945557; -959.766602;phys_gyros   0.028250; -0.004903; -0.041798; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.496958 

;navdata_time 755.585083;nd_seq 149884; raw_accs 2076; 2040; 2544; raw_gyros 0040; 0052;-008 ;phys_accs  27.867928; -97.684853; -958.303223;phys_gyros   0.004780; -0.034102;  0.001615; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.499021 

;navdata_time 755.590057;nd_seq 149885; raw_accs 2076; 2040; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  27.843182; -95.788849; -956.349121;phys_gyros  -0.003814;  0.018012;  0.035197; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.505206 

;navdata_time 755.594970;nd_seq 149886; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0055;-007 ;phys_accs  27.778393; -96.787743; -954.587891;phys_gyros   0.010805;  0.019798;  0.087635; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.508654 

;navdata_time 755.594970;nd_seq 149887; raw_accs 2076; 2044; 2548; raw_gyros 0041; 0055;-007 ;phys_accs  27.778393; -96.787743; -954.587891;phys_gyros   0.010805;  0.019798;  0.087635; ; frame_size 3440;video_stream.frame_number 21477;  hdvideo_stream.frame_number: 0 ; 1431377653.511020 

;navdata_time 755.600311;nd_seq 149888; raw_accs 2076; 2044; 2548; raw_gyros 0042; 0053;-006 ;phys_accs  27.837221; -96.909927; -954.774902;phys_gyros   0.050751;  0.031698; -0.001589; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.515260 

;navdata_time 755.605072;nd_seq 149889; raw_accs 2076; 2044; 2548; raw_gyros 0040; 0053;-006 ;phys_accs  27.669933; -100.303886; -957.635254;phys_gyros   0.055622; -0.016155;  0.014922; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.519370 

;navdata_time 755.610076;nd_seq 149890; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0053;-007 ;phys_accs  27.704903; -102.154541; -959.933594;phys_gyros   0.074173; -0.043221; -0.059599; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.523902 

;navdata_time 755.615112;nd_seq 149891; raw_accs 2076; 2040; 2548; raw_gyros 0040; 0053;-003 ;phys_accs  27.707005; -99.921112; -961.688477;phys_gyros   0.020546; -0.017970; -0.050087; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.529531 

;navdata_time 755.615112;nd_seq 149892; raw_accs 2076; 2040; 2548; raw_gyros 0040; 0053;-003 ;phys_accs  27.707005; -99.921112; -961.688477;phys_gyros   0.020546; -0.017970; -0.050087; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.530946 

;navdata_time 755.620269;nd_seq 149893; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0053;-004 ;phys_accs  27.755630; -96.965675; -960.444336;phys_gyros   0.024268; -0.008373; -0.072757; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.534363 

;navdata_time 755.625152;nd_seq 149894; raw_accs 2076; 2040; 2548; raw_gyros 0042; 0053;-007 ;phys_accs  27.878881; -92.506264; -959.335938;phys_gyros   0.019278;  0.037501; -0.120409; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.538953 

;navdata_time 755.630218;nd_seq 149895; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0052;-005 ;phys_accs  27.845736; -92.870674; -959.138184;phys_gyros   0.030781;  0.010188; -0.098838; ; frame_size 2725;video_stream.frame_number 21478;  hdvideo_stream.frame_number: 0 ; 1431377653.544219 

