VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 823.847808;nd_seq 163492; raw_accs 2072; 2040; 2544; raw_gyros 0040; 0054;-007 ;phys_accs  18.367773; -93.519279; -950.765137;phys_gyros   0.008420; -0.046515; -0.028687; ; frame_size 5292;video_stream.frame_number 22894;  hdvideo_stream.frame_number: 0 ; 1431377721.764065 

;navdata_time 823.852630;nd_seq 163493; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-008 ;phys_accs  19.429991; -93.972183; -951.461914;phys_gyros  -0.004362; -0.000502;  0.018323; ; frame_size 5292;video_stream.frame_number 22894;  hdvideo_stream.frame_number: 0 ; 1431377721.768666 

;navdata_time 823.857849;nd_seq 163494; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0054;-006 ;phys_accs  18.631245; -94.090340; -952.575684;phys_gyros  -0.000190; -0.042386;  0.008484; ; frame_size 5292;video_stream.frame_number 22894;  hdvideo_stream.frame_number: 0 ; 1431377721.773623 

;navdata_time 823.862823;nd_seq 163495; raw_accs 2072; 2040; 2544; raw_gyros 0040; 0052;-007 ;phys_accs  20.938055; -94.322319; -952.170410;phys_gyros  -0.022971;  0.038182;  0.055225; ; frame_size 5292;video_stream.frame_number 22894;  hdvideo_stream.frame_number: 0 ; 1431377721.778703 

;navdata_time 823.867980;nd_seq 163496; raw_accs 2072; 2040; 2544; raw_gyros 0043; 0053;-007 ;phys_accs  20.263926; -94.397705; -952.193848;phys_gyros   0.024693;  0.032480;  0.040860; ; frame_size 5292;video_stream.frame_number 22894;  hdvideo_stream.frame_number: 0 ; 1431377721.786645 

;navdata_time 823.867980;nd_seq 163497; raw_accs 2072; 2040; 2544; raw_gyros 0043; 0053;-007 ;phys_accs  20.263926; -94.397705; -952.193848;phys_gyros   0.024693;  0.032480;  0.040860; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.787319 

;navdata_time 823.872589;nd_seq 163498; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-007 ;phys_accs  19.997137; -94.110168; -951.469727;phys_gyros   0.000356;  0.044284;  0.006291; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.789585 

;navdata_time 823.877807;nd_seq 163499; raw_accs 2072; 2040; 2544; raw_gyros 0043; 0054;-007 ;phys_accs  19.713009; -94.230522; -951.838867;phys_gyros   0.078036;  0.041253;  0.030094; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.794207 

;navdata_time 823.882720;nd_seq 163500; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0054;-007 ;phys_accs  19.578896; -94.218338; -952.007324;phys_gyros   0.043978; -0.010111;  0.004061; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.798215 

;navdata_time 823.887817;nd_seq 163501; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0052;-007 ;phys_accs  20.080359; -95.792046; -951.968750;phys_gyros   0.094610;  0.016632;  0.051700; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.803379 

;navdata_time 823.893035;nd_seq 163502; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0056;-005 ;phys_accs  19.942984; -97.700371; -952.067871;phys_gyros   0.081781; -0.060951;  0.003712; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.810087 

;navdata_time 823.897705;nd_seq 163503; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-007 ;phys_accs  19.832821; -101.080246; -953.344238;phys_gyros   0.078920; -0.021487;  0.004186; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.815671 

;navdata_time 823.902740;nd_seq 163504; raw_accs 2072; 2044; 2548; raw_gyros 0044; 0054;-005 ;phys_accs  19.748444; -102.754005; -955.263184;phys_gyros   0.124275; -0.091770; -0.052705; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.818218 

;navdata_time 823.907775;nd_seq 163505; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0054;-009 ;phys_accs  19.652145; -101.744934; -957.195312;phys_gyros   0.083581; -0.051389; -0.007252; ; frame_size 4540;video_stream.frame_number 22895;  hdvideo_stream.frame_number: 0 ; 1431377721.824573 

;navdata_time 823.912872;nd_seq 163506; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0053;-005 ;phys_accs  19.876492; -99.174927; -958.428711;phys_gyros   0.122731; -0.050296; -0.023611; ; frame_size 20480;video_stream.frame_number 22896;  hdvideo_stream.frame_number: 0 ; 1431377721.829221 

;navdata_time 823.918151;nd_seq 163507; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0054;-008 ;phys_accs  19.970003; -94.363068; -957.441895;phys_gyros   0.048619; -0.036993;  0.050096; ; frame_size 20480;video_stream.frame_number 22896;  hdvideo_stream.frame_number: 0 ; 1431377721.834143 

;navdata_time 823.922821;nd_seq 163508; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0052;-007 ;phys_accs  20.010254; -93.325264; -958.480957;phys_gyros   0.027368;  0.031834;  0.028563; ; frame_size 20480;video_stream.frame_number 22896;  hdvideo_stream.frame_number: 0 ; 1431377721.840522 

;navdata_time 823.927856;nd_seq 163509; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0052;-007 ;phys_accs  20.035307; -92.582558; -958.289551;phys_gyros  -0.003059;  0.002919;  0.039711; ; frame_size 20480;video_stream.frame_number 22896;  hdvideo_stream.frame_number: 0 ; 1431377721.843310 

;navdata_time 823.927856;nd_seq 163510; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0052;-007 ;phys_accs  20.035307; -92.582558; -958.289551;phys_gyros  -0.003059;  0.002919;  0.039711; ; frame_size 20480;video_stream.frame_number 22896;  hdvideo_stream.frame_number: 0 ; 1431377721.845269 

;navdata_time 823.932861;nd_seq 163511; raw_accs 2072; 2040; 2544; raw_gyros 0043; 0052;-008 ;phys_accs  19.940487; -94.137054; -958.630371;phys_gyros  -0.010080;  0.082510;  0.056236; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.848485 

;navdata_time 823.937988;nd_seq 163512; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0053;-006 ;phys_accs  19.909716; -96.666580; -958.698242;phys_gyros   0.030146;  0.050497;  0.005030; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.853300 

;navdata_time 823.942962;nd_seq 163513; raw_accs 2072; 2044; 2544; raw_gyros 0041; 0056;-007 ;phys_accs  19.869659; -97.701263; -954.603516;phys_gyros   0.032886;  0.026051;  0.074906; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.858407 

;navdata_time 823.947998;nd_seq 163514; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-007 ;phys_accs  19.728067; -101.607674; -956.502441;phys_gyros   0.058991; -0.013993; -0.017113; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.863425 

;navdata_time 823.947998;nd_seq 163515; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0054;-007 ;phys_accs  19.728067; -101.607674; -956.502441;phys_gyros   0.058991; -0.013993; -0.017113; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.865850 

;navdata_time 823.953155;nd_seq 163516; raw_accs 2072; 2044; 2548; raw_gyros 0041; 0054;-008 ;phys_accs  19.691683; -102.280327; -954.763672;phys_gyros   0.027541; -0.115838;  0.057648; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.871562 

;navdata_time 823.960388;nd_seq 163517; raw_accs 2072; 2044; 2548; raw_gyros 0043; 0052;-005 ;phys_accs  19.578812; -103.540947; -959.066895;phys_gyros   0.044904; -0.050645; -0.004692; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.875939 

;navdata_time 823.963073;nd_seq 163518; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0054;-007 ;phys_accs  19.616631; -102.991867; -958.952148;phys_gyros   0.036921; -0.052742;  0.025061; ; frame_size 5318;video_stream.frame_number 22897;  hdvideo_stream.frame_number: 0 ; 1431377721.879026 

;navdata_time 823.968109;nd_seq 163519; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  19.711697; -101.417351; -956.350586;phys_gyros   0.074060;  0.049856; -0.002805; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.883471 

;navdata_time 823.968109;nd_seq 163520; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  19.711697; -101.417351; -956.350586;phys_gyros   0.074060;  0.049856; -0.002805; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.889026 

;navdata_time 823.973083;nd_seq 163521; raw_accs 2076; 2044; 2544; raw_gyros 0042; 0053;-006 ;phys_accs  21.322964; -102.229164; -954.626465;phys_gyros   0.076651;  0.052081; -0.034453; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.889773 

;navdata_time 823.978149;nd_seq 163522; raw_accs 2076; 2044; 2544; raw_gyros 0041; 0053;-005 ;phys_accs  23.337437; -101.598770; -949.664062;phys_gyros   0.043711;  0.031095; -0.033868; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.893815 

;navdata_time 823.983367;nd_seq 163523; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-007 ;phys_accs  25.308592; -101.096710; -951.553711;phys_gyros   0.035748;  0.041210; -0.053416; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.898958 

;navdata_time 823.988189;nd_seq 163524; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0054;-005 ;phys_accs  25.120449; -98.844131; -950.942383;phys_gyros  -0.028720; -0.011167; -0.039238; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.903864 

;navdata_time 823.993225;nd_seq 163525; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-004 ;phys_accs  22.184608; -94.998871; -952.938965;phys_gyros   0.015719;  0.054833; -0.066167; ; frame_size 5017;video_stream.frame_number 22898;  hdvideo_stream.frame_number: 0 ; 1431377721.908832 

;navdata_time 823.998382;nd_seq 163526; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0052;-006 ;phys_accs  19.827261; -93.541351; -952.527344;phys_gyros  -0.010431;  0.013926; -0.069843; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.913981 

;navdata_time 824.003295;nd_seq 163527; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0054;-007 ;phys_accs  17.938881; -92.681786; -951.736328;phys_gyros   0.012315;  0.049503; -0.085735; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.918890 

;navdata_time 824.008270;nd_seq 163528; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0053;-005 ;phys_accs  19.216225; -93.749168; -951.704590;phys_gyros   0.009214;  0.025060; -0.051902; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.924229 

;navdata_time 824.013214;nd_seq 163529; raw_accs 2072; 2040; 2548; raw_gyros 0043; 0052;-007 ;phys_accs  20.277287; -95.071663; -953.119629;phys_gyros   0.002089;  0.011458; -0.025115; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.930383 

;navdata_time 824.018646;nd_seq 163530; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0054;-007 ;phys_accs  20.478365; -94.398964; -955.387207;phys_gyros   0.050230;  0.020126;  0.005489; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.934276 

;navdata_time 824.023315;nd_seq 163531; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0053;-006 ;phys_accs  20.288113; -94.761383; -958.824707;phys_gyros   0.039547; -0.002567;  0.011457; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.938958 

;navdata_time 824.028411;nd_seq 163532; raw_accs 2072; 2044; 2548; raw_gyros 0040; 0052;-006 ;phys_accs  19.205709; -95.320190; -960.212891;phys_gyros   0.034016;  0.024198; -0.002835; ; frame_size 5264;video_stream.frame_number 22899;  hdvideo_stream.frame_number: 0 ; 1431377721.943892 

;navdata_time 824.033325;nd_seq 163533; raw_accs 2072; 2044; 2548; raw_gyros 0044; 0055;-008 ;phys_accs  19.685637; -97.681953; -960.800293;phys_gyros   0.013416; -0.000141;  0.000288; ; frame_size 5114;video_stream.frame_number 22900;  hdvideo_stream.frame_number: 0 ; 1431377721.950249 

