VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1370.895568;nd_seq 272434; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0055;-005 ;phys_accs  19.786226; -102.045250; -951.956543;phys_gyros   0.029308; -0.032314;  0.009482; ; frame_size 2308;video_stream.frame_number 39046;  hdvideo_stream.frame_number: 0 ; 1431378268.829123 

;navdata_time 1370.900177;nd_seq 272435; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0052;-006 ;phys_accs  19.905724; -100.146873; -951.954102;phys_gyros   0.022236; -0.041176; -0.004686; ; frame_size 2308;video_stream.frame_number 39046;  hdvideo_stream.frame_number: 0 ; 1431378268.833042 

;navdata_time 1370.905151;nd_seq 272436; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0053;-005 ;phys_accs  19.812065; -102.700676; -951.974121;phys_gyros   0.045101; -0.042661; -0.054504; ; frame_size 2308;video_stream.frame_number 39046;  hdvideo_stream.frame_number: 0 ; 1431378268.837275 

;navdata_time 1370.910369;nd_seq 272437; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0054;-006 ;phys_accs  19.887312; -101.608719; -950.463867;phys_gyros   0.081970;  0.040894; -0.069521; ; frame_size 2308;video_stream.frame_number 39046;  hdvideo_stream.frame_number: 0 ; 1431378268.847245 

;navdata_time 1370.915039;nd_seq 272438; raw_accs 2072; 2048; 2540; raw_gyros 0045; 0055;-006 ;phys_accs  19.851347; -104.392593; -948.662598;phys_gyros   0.013718;  0.013948; -0.074187; ; frame_size 2308;video_stream.frame_number 39046;  hdvideo_stream.frame_number: 0 ; 1431378268.847860 

;navdata_time 1370.920043;nd_seq 272439; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0054;-006 ;phys_accs  19.875738; -103.633705; -945.261230;phys_gyros   0.039081;  0.013543; -0.048147; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.854875 

;navdata_time 1370.925140;nd_seq 272440; raw_accs 2072; 2048; 2540; raw_gyros 0048; 0053;-006 ;phys_accs  19.843761; -106.532265; -943.671387;phys_gyros  -0.040594; -0.038757; -0.016794; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.863446 

;navdata_time 1370.930145;nd_seq 272441; raw_accs 2072; 2048; 2540; raw_gyros 0047; 0052;-003 ;phys_accs  19.789583; -107.179703; -943.135742;phys_gyros   0.014500; -0.029189; -0.064611; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.864559 

;navdata_time 1370.935607;nd_seq 272442; raw_accs 2072; 2044; 2540; raw_gyros 0047; 0053;-006 ;phys_accs  19.763866; -107.685799; -943.796387;phys_gyros   0.019326;  0.040421; -0.061748; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.881767 

;navdata_time 1370.940246;nd_seq 272443; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.714050; -108.310066; -946.571289;phys_gyros   0.032609;  0.048036; -0.128055; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.885442 

;navdata_time 1370.945404;nd_seq 272444; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-006 ;phys_accs  19.759281; -104.866531; -947.766113;phys_gyros   0.046206;  0.050927; -0.068235; ; frame_size 23099;video_stream.frame_number 39047;  hdvideo_stream.frame_number: 0 ; 1431378268.890489 

;navdata_time 1370.950195;nd_seq 272445; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0052;-007 ;phys_accs  19.713274; -106.031929; -951.370605;phys_gyros   0.019562; -0.011298; -0.036068; ; frame_size 2419;video_stream.frame_number 39048;  hdvideo_stream.frame_number: 0 ; 1431378268.891855 

;navdata_time 1370.955505;nd_seq 272446; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0052;-007 ;phys_accs  19.775347; -101.683083; -952.140625;phys_gyros   0.030853; -0.003386;  0.012598; ; frame_size 2419;video_stream.frame_number 39048;  hdvideo_stream.frame_number: 0 ; 1431378268.893454 

;navdata_time 1370.960449;nd_seq 272447; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-005 ;phys_accs  19.747694; -102.768990; -953.049316;phys_gyros   0.029113;  0.031236;  0.032320; ; frame_size 2419;video_stream.frame_number 39048;  hdvideo_stream.frame_number: 0 ; 1431378268.894253 

;navdata_time 1370.965240;nd_seq 272448; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0053;-006 ;phys_accs  19.748869; -103.108971; -952.619141;phys_gyros  -0.010680;  0.071685; -0.025109; ; frame_size 2419;video_stream.frame_number 39048;  hdvideo_stream.frame_number: 0 ; 1431378268.897155 

;navdata_time 1370.970275;nd_seq 272449; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-008 ;phys_accs  19.742390; -104.600327; -951.225586;phys_gyros  -0.007295;  0.064548; -0.012112; ; frame_size 2419;video_stream.frame_number 39048;  hdvideo_stream.frame_number: 0 ; 1431378268.904283 

;navdata_time 1370.970275;nd_seq 272450; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0053;-008 ;phys_accs  19.742390; -104.600327; -951.225586;phys_gyros  -0.007295;  0.064548; -0.012112; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.905437 

;navdata_time 1370.975463;nd_seq 272451; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  19.644463; -110.202034; -952.020508;phys_gyros  -0.032310;  0.034002; -0.037280; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.922711 

;navdata_time 1370.980377;nd_seq 272452; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.657448; -109.712601; -951.549316;phys_gyros   0.012125;  0.014279;  0.022956; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.923626 

;navdata_time 1370.985504;nd_seq 272453; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-006 ;phys_accs  19.628384; -110.664497; -952.444336;phys_gyros   0.043275;  0.002223;  0.015184; ; frame_size 2310;video_stream.frame_number 39049;  hdvideo_stream.frame_number: 0 ; 1431378268.924567 

