VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1419.007141;nd_seq 282017; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0054;-007 ;phys_accs  19.496647; -104.706764; -951.708984;phys_gyros   0.009673;  0.031532; -0.024094; ; frame_size 4096;video_stream.frame_number 40488;  hdvideo_stream.frame_number: 0 ; 1431378316.958382 

;navdata_time 1419.009979;nd_seq 282018; raw_accs 2072; 2044; 2544; raw_gyros 0049; 0055;-006 ;phys_accs  18.473339; -105.070831; -951.814941;phys_gyros   0.010837; -0.009621; -0.022549; ; frame_size 4096;video_stream.frame_number 40488;  hdvideo_stream.frame_number: 0 ; 1431378316.959740 

;navdata_time 1419.015045;nd_seq 282019; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-005 ;phys_accs  18.997690; -102.446594; -952.136719;phys_gyros   0.035098; -0.023732; -0.020721; ; frame_size 4096;video_stream.frame_number 40488;  hdvideo_stream.frame_number: 0 ; 1431378316.961642 

;navdata_time 1419.019836;nd_seq 282020; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  20.451612; -102.182800; -951.748047;phys_gyros   0.029501; -0.021872; -0.062705; ; frame_size 4096;video_stream.frame_number 40488;  hdvideo_stream.frame_number: 0 ; 1431378316.962453 

;navdata_time 1419.024932;nd_seq 282021; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0055;-006 ;phys_accs  19.705046; -102.211647; -952.191406;phys_gyros   0.040054; -0.004405; -0.016852; ; frame_size 4096;video_stream.frame_number 40488;  hdvideo_stream.frame_number: 0 ; 1431378316.963088 

;navdata_time 1419.030059;nd_seq 282022; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0052;-006 ;phys_accs  20.311554; -100.866066; -951.904297;phys_gyros   0.026218;  0.000543; -0.028958; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.964711 

;navdata_time 1419.034973;nd_seq 282023; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0052;-005 ;phys_accs  19.405851; -103.156113; -951.909180;phys_gyros   0.027664;  0.030765; -0.032470; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.972809 

;navdata_time 1419.039978;nd_seq 282024; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.821491; -101.377457; -952.037598;phys_gyros   0.003716;  0.068792; -0.019205; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.974401 

;navdata_time 1419.039978;nd_seq 282025; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  19.821491; -101.377457; -952.037598;phys_gyros   0.003716;  0.068792; -0.019205; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.982342 

;navdata_time 1419.045440;nd_seq 282026; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-005 ;phys_accs  20.104862; -102.849792; -951.873535;phys_gyros   0.013102;  0.055117; -0.067991; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.983155 

;navdata_time 1419.050048;nd_seq 282027; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-006 ;phys_accs  19.893814; -101.852264; -952.039551;phys_gyros  -0.007628;  0.046244; -0.031946; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.983859 

;navdata_time 1419.055206;nd_seq 282028; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0053;-007 ;phys_accs  20.108828; -101.824196; -951.947754;phys_gyros   0.007942; -0.014626; -0.039970; ; frame_size 4358;video_stream.frame_number 40489;  hdvideo_stream.frame_number: 0 ; 1431378316.991758 

