VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.653137;nd_seq 383424; raw_accs 2072; 2048; 2544; raw_gyros 0051; 0054;-007 ;phys_accs  20.030346; -104.361923; -951.981934;phys_gyros   0.028500;  0.024193;  0.026072; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.688758 

;navdata_time 1928.658325;nd_seq 383425; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0055;-005 ;phys_accs  19.427572; -105.632629; -951.977539;phys_gyros   0.031792;  0.005152;  0.026925; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.693306 

;navdata_time 1928.663391;nd_seq 383426; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-006 ;phys_accs  19.901127; -109.384857; -952.007812;phys_gyros   0.077916; -0.012170; -0.007761; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.702493 

;navdata_time 1928.668334;nd_seq 383427; raw_accs 2076; 2048; 2544; raw_gyros 0050; 0053;-007 ;phys_accs  21.147839; -110.248627; -952.037109;phys_gyros   0.028192; -0.031917; -0.036459; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.703567 

;navdata_time 1928.673522;nd_seq 383428; raw_accs 2076; 2048; 2544; raw_gyros 0050; 0055;-006 ;phys_accs  22.975111; -111.229591; -952.079590;phys_gyros   0.041934; -0.027790; -0.042350; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.709707 

;navdata_time 1928.673522;nd_seq 383429; raw_accs 2076; 2048; 2544; raw_gyros 0050; 0055;-006 ;phys_accs  22.975111; -111.229591; -952.079590;phys_gyros   0.041934; -0.027790; -0.042350; ; frame_size 4671;video_stream.frame_number 48990;  hdvideo_stream.frame_number: 0 ; 1431378826.714123 

;navdata_time 1928.678588;nd_seq 383430; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0054;-005 ;phys_accs  26.704205; -110.850990; -952.153320;phys_gyros   0.000877;  0.000993; -0.034036; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.715774 

;navdata_time 1928.683410;nd_seq 383431; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0055;-008 ;phys_accs  28.159023; -109.421661; -952.173340;phys_gyros  -0.009105; -0.024002; -0.010093; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.721649 

;navdata_time 1928.688385;nd_seq 383432; raw_accs 2076; 2048; 2544; raw_gyros 0049; 0055;-006 ;phys_accs  28.914665; -110.217834; -952.193359;phys_gyros  -0.014755; -0.024509; -0.002773; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.723907 

;navdata_time 1928.693572;nd_seq 383433; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-007 ;phys_accs  26.613092; -109.683197; -952.144043;phys_gyros  -0.044741; -0.065615;  0.010164; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.729489 

;navdata_time 1928.698516;nd_seq 383434; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-005 ;phys_accs  23.366096; -110.546440; -952.082520;phys_gyros  -0.020104; -0.039122; -0.013395; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.742497 

;navdata_time 1928.703491;nd_seq 383435; raw_accs 2072; 2048; 2544; raw_gyros 0052; 0055;-006 ;phys_accs  20.588188; -110.197380; -952.026367;phys_gyros   0.019672; -0.013459; -0.012393; ; frame_size 3964;video_stream.frame_number 48991;  hdvideo_stream.frame_number: 0 ; 1431378826.743229 

